"ID";"Тип";"Название";"Артикул";"Код";"pathName (row)";"productFolder.name";"productFolder.pathName";"productFolder.productFolder.name";"Цена продажи";"Цена закупки";"Остаток"
"9d02b1a8-76e0-11f1-0a80-04ba00024d1f";"product";"РОКОТ Сверло по металлу 8мм (1шт, блистер)";"604-008";"00285";"Строительные материалы";"Строительные материалы";"";;"36.16";"30.13";"0"
"9d078078-76e0-11f1-0a80-04ba00024d23";"product";"РОКОТ Сверло по металлу 4.5х80мм, HSS";"604-077";"00291";"Строительные материалы";"Строительные материалы";"";;"27.62";"23.02";"0"
"9d19943c-76e0-11f1-0a80-04ba00024d33";"product";"РОКОТ Молоток-гвоздодер, 450 г, боек 27 мм, металлическая трубчатая обрезиненная рукоятка";"615-090";"00275";"Строительные материалы";"Строительные материалы";"";;"288.13";"240.11";"0"
"9d2c7ea5-76e0-11f1-0a80-04ba00024d44";"product";"РОКОТ Сеткодержатель на винтах 105x220мм";"645-105";"00287";"Строительные материалы";"Строительные материалы";"";;"247.98";"206.65";"0"
"9d3572a7-76e0-11f1-0a80-04ba00024d4c";"product";"РОКОТ Отвертка ""Любитель"" с прорезиненной ручкой 20см PH2 5.5*100мм";"651-212";"00187";"Строительные материалы";"Строительные материалы";"";;"50.12";"41.77";"0"
"9d39b1b4-76e0-11f1-0a80-04ba00024d50";"product";"РОКОТ Отвертка ""Любитель"" с прорезиненной ручкой SL 5х75мм";"651-217";"00164";"Строительные материалы";"Строительные материалы";"";;"45.62";"38.02";"0"
"9d57e10d-76e0-11f1-0a80-04ba00024d6c";"product";"РОКОТ Коронка по бетону 68мм (в сборе)";"654-069";"00219";"Строительные материалы";"Строительные материалы";"";;"511.80";"426.50";"0"
"9d60edec-76e0-11f1-0a80-04ba00024d74";"product";"РОКОТ Ключ разводной 150мм";"655-024";"00191";"Строительные материалы";"Строительные материалы";"";;"188.33";"156.94";"0"
"9d64e696-76e0-11f1-0a80-04ba00024d78";"product";"РОКОТ Ключ разводной 300мм";"655-027";"00199";"Строительные материалы";"Строительные материалы";"";;"478.02";"398.35";"0"
"9d860d59-76e0-11f1-0a80-04ba00024d98";"product";"РОКОТ Рулетка ""ОПТИМА"", 5м х 19мм, одинарный зацеп, корпус PP+TPR";"658-115";"00177";"Строительные материалы";"Строительные материалы";"";;"110.42";"92.02";"0"
"9d8a1693-76e0-11f1-0a80-04ba00024d9c";"product";"РОКОТ Уровень строительный ""Рельс"", 600 мм";"659-036";"00175";"Строительные материалы";"Строительные материалы";"";;"175.27";"146.06";"0"
"9d8e451d-76e0-11f1-0a80-04ba00024da0";"product";"РОКОТ Уровень строительный ""Рельс"", 1000 мм";"659-038";"00188";"Строительные материалы";"Строительные материалы";"";;"252.28";"210.23";"0"
"9da369b1-76e0-11f1-0a80-04ba00024db4";"product";"РОКОТ Кувалда с пластиковой ручкой 1000гр";"662-060";"00178";"Строительные материалы";"Строительные материалы";"";;"506.21";"421.84";"0"
"9da76048-76e0-11f1-0a80-04ba00024db8";"product";"РОКОТ Топор кованый с деревянной ручкой 700г";"662-138";"00203";"Строительные материалы";"Строительные материалы";"";;"448.10";"373.42";"0"
"9dbee488-76e0-11f1-0a80-04ba00024dd0";"product";"РОКОТ Ножовка по металлу (стандарт)";"663-053";"00241";"Строительные материалы";"Строительные материалы";"";;"202.26";"168.55";"0"
"9dc30311-76e0-11f1-0a80-04ba00024dd4";"product";"РОКОТ Ножовка по дереву 350мм";"663-131";"00200";"Строительные материалы";"Строительные материалы";"";;"135.68";"113.07";"0"
"9dc71246-76e0-11f1-0a80-04ba00024dd8";"product";"РОКОТ Ножовка по дереву 450мм";"663-133";"00201";"Строительные материалы";"Строительные материалы";"";;"147.56";"122.97";"0"
"9dfd5a8e-76e0-11f1-0a80-04ba00024e0c";"product";"РОКОТ Набор ключей рожковых оцинк. в пластик. подвесе 6 пр. (6х7, 8х10, 9х11, 10х12, 12х13, 13х14мм)";"736-001";"00216";"Строительные материалы";"Строительные материалы";"";;"271.86";"226.55";"0"
"9e02e9fa-76e0-11f1-0a80-04ba00024e10";"product";"РОКОТ Набор ключей рожковых оцинк. в пластик. подвесе 12 пр., 6-24мм";"736-004";"00297";"Строительные материалы";"Строительные материалы";"";;"656.17";"546.81";"0"
"9bb9cabb-76e0-11f1-0a80-04ba00024bf1";"product";"Дрель-шуруповерт для дома FBC-001 12В+ЗУ";"FBC-001";"00220";"";;;;"0.00";"0.00";"0"
"9bbff018-76e0-11f1-0a80-04ba00024bf5";"product";"Дрель-шуруповерт 16-10 с съемным патроном";"FB-16-10Q-2(103Q)";"00271";"";;;;"4560.00";"3800.00";"0"
"9bc3c86d-76e0-11f1-0a80-04ba00024bf9";"product";"Дрель-шуруповерт 21-10 с съемным патроном";"FB-21-10Q-2(107Q)";"00238";"";;;;"5040.00";"4200.00";"0"
"9bc7bdbb-76e0-11f1-0a80-04ba00024bfd";"product";"Дрель-шуруповерт 20-13A";"FB-20-13A-4(113)";"00226";"";;;;"0.00";"0.00";"0"
"9bcb8ba6-76e0-11f1-0a80-04ba00024c01";"product";"Дрель-шуруповерт 21-13";"FB-21-13-5(110)";"00301";"";;;;"5100.00";"4250.00";"0"
"9bd18849-76e0-11f1-0a80-04ba00024c05";"product";"Винтоверт 280";"FB-280-4(201)";"00211";"";;;;"6180.00";"5150.00";"0"
