=== ПАПКИ ===
ID,Название,pathName,Родитель(name),Родитель(pathName)
a14d7d2e-7aa6-11f1-0a80-020300078bc7,"Инструменты","","",""
a4e56e38-7aa5-11f1-0a80-1e290007c81c,"Строительные материалы","","",""
820df2a2-7aa6-11f1-0a80-1c7100082e20,"Товары для сада","","",""

=== ТОВАРЫ (первые 100) ===
Название товара,productFolder.name,productFolder.pathName,productFolder.productFolder.name,row.pathName
"РОКОТ Сверло по металлу 8мм (1шт, блистер)","Строительные материалы","","","Строительные материалы"
"РОКОТ Сверло по металлу 4.5х80мм, HSS","Строительные материалы","","","Строительные материалы"
"РОКОТ Молоток-гвоздодер, 450 г, боек 27 мм, металлическая трубчатая обрезиненная рукоятка","Строительные материалы","","","Строительные материалы"
"РОКОТ Сеткодержатель на винтах 105x220мм","Строительные материалы","","","Строительные материалы"
"РОКОТ Отвертка ""Любитель"" с прорезиненной ручкой 20см PH2 5.5*100мм","Строительные материалы","","","Строительные материалы"
"РОКОТ Отвертка ""Любитель"" с прорезиненной ручкой SL 5х75мм","Строительные материалы","","","Строительные материалы"
"РОКОТ Коронка по бетону 68мм (в сборе)","Строительные материалы","","","Строительные материалы"
"РОКОТ Ключ разводной 150мм","Строительные материалы","","","Строительные материалы"
"РОКОТ Ключ разводной 300мм","Строительные материалы","","","Строительные материалы"
"РОКОТ Рулетка ""ОПТИМА"", 5м х 19мм, одинарный зацеп, корпус PP+TPR","Строительные материалы","","","Строительные материалы"
"РОКОТ Уровень строительный ""Рельс"", 600 мм","Строительные материалы","","","Строительные материалы"
"РОКОТ Уровень строительный ""Рельс"", 1000 мм","Строительные материалы","","","Строительные материалы"
"РОКОТ Кувалда с пластиковой ручкой 1000гр","Строительные материалы","","","Строительные материалы"
"РОКОТ Топор кованый с деревянной ручкой 700г","Строительные материалы","","","Строительные материалы"
"РОКОТ Ножовка по металлу (стандарт)","Строительные материалы","","","Строительные материалы"
"РОКОТ Ножовка по дереву 350мм","Строительные материалы","","","Строительные материалы"
"РОКОТ Ножовка по дереву 450мм","Строительные материалы","","","Строительные материалы"
"РОКОТ Набор ключей рожковых оцинк. в пластик. подвесе 6 пр. (6х7, 8х10, 9х11, 10х12, 12х13, 13х14мм)","Строительные материалы","","","Строительные материалы"
"РОКОТ Набор ключей рожковых оцинк. в пластик. подвесе 12 пр., 6-24мм","Строительные материалы","","","Строительные материалы"
"Дрель-шуруповерт для дома FBC-001 12В+ЗУ","","","",""
"Дрель-шуруповерт 16-10 с съемным патроном","","","",""
"Дрель-шуруповерт 21-10 с съемным патроном","","","",""
"Дрель-шуруповерт 20-13A","","","",""
"Дрель-шуруповерт 21-13","","","",""
"Винтоверт 280","","","",""
"Гайковерт 680","","","",""
"Гайковерт FBH-688","","","",""
"Гайковерт 1280B (без АКБ и ЗУ)","","","",""
"Гайковерт 1200B","","","",""
"Угловой гайковерт FB-406","","","",""
"Угловой гайковерт FB-407","","","",""
"Перфоратор 8030B-0 (без АКБ и ЗУ)","","","",""
"Перфоратор 8030B-9","","","",""
"Перфоратор 8026B (без АКБ и ЗУ)","","","",""
"Перфоратор 8026B-6","","","",""
"Перфоратор FBH-05-22","","","",""
"Перфоратор FBH-05-24","","","",""
"Отбойный молоток FB-20-8040","","","",""
"УШМ 5230B","","","",""
"УШМ 5030B","","","",""
"УШМ 20-125 20В","","","",""
"Цепная пила 8305N","","","",""
"Цепная пила телескопическая FB-8205","","","",""
"Цепная пила 8355B","","","",""
"Цепная пила 40-16","","","",""
"Циркулярная пила FB-150","","","",""
"Сабельная пила 02-18","","","",""
"Лобзик FB-8155","","","",""
"Ножницы по металлу FB-806","","","",""
"Ножницы по металлу FB-807","","","",""
"Заклепочный пистолет FB-808","","","",""
"Набор 6в1 (шуруповерт, гайковерт, перфоратор, УШМ, цепная и циркулярная пила)","","","",""
"Набор 4в1 (шуруповерт 21-13, гайковерт 680, перфоратор 05-24, УШМ 5230)","","","",""
"Набор 4в1 (шуруповерт 1321, гайковерт 650, перфоратор 05-24, УШМ 5025)","","","",""
"Набор 4в1 (FBH-20-13A, FBH-688, FBH-05-24, FBH-20-125)","","","",""
"Набор 3в1 (FBH-20-13A, FBH-20-125, FBH-688)","","","",""
"Набор 3в1 (шуруповерт 1321, УШМ 5230, перфоратор 8026)","","","",""
"Набор 3в1 (шуруповерт 21-13, гайковерт 1280, перфоратор 8026)","","","",""
"Набор 3в1 (УШМ 5230, гайковерт 1280, перфоратор 8030)","","","",""
"Набор 2в1 (гайковерт FBH-688, шуруповерт FBH-20-13A)","","","",""
"Набор 2в1 (УШМ FBH-20-125, шуруповерт FBH-20-13A)","","","",""
"Набор 2в1 (УШМ FBH-20-125, гайковерт FBH-688)","","","",""
"Мойка высокого давления FB-072","","","",""
"Лазерный уровень 286","","","",""
"Лазерный уровень 216","","","",""
"Прожектор FBH-166 (без АКБ)","","","",""
"Снеговая лопата 061","","","",""
"Переходник FB_MAK","","","",""
"Диск отрезной по металлу 230мм (5шт/уп — 625₽; 25шт/кор — 3000₽)","","","",""
"Диск отрезной оригинальный для пилы 150мм","","","",""
"Патрон 10мм","","","",""
"Патрон 13мм","","","",""
"Цепь для пилы 8355","","","",""
"Цепь для пилы 21-12S","","","",""
"Цепь для пилы 8305N","","","",""
"Цепь для пилы 8205","","","",""
"Кейс (без подложки, типовой для 3в1)","","","",""
"Батарея аккумуляторная 21В 2.0Ач","","","",""
"Батарея аккумуляторная 21В 4.0Ач","","","",""
"Батарея аккумуляторная 21В 6.0Ач","","","",""
"Батарея аккумуляторная 21В 8.0Ач","","","",""
"Зарядная станция 21В 2А","","","",""
"Кора сосновая 2л","","","",""
"INBLOOM Набор для полива (пистолет 5 реж- 1шт., 1/2"" коннектор- 2шт., 1/2""-3/4"" штуцер-1шт.) ПП","","","",""
"INBLOOM Разбрызгиватель 5-и лучевой на пике, 31см, круговой, пластик","","","",""
"INBLOOM Пистолет для полива, 2 режима, ПП, ABS","","","",""
"INBLOOM Пистолет-разбрызгиватель, 5 режимов, ПП","","","",""
"INBLOOM Набор для полива d3/4"" (коннектор-1шт., коннектор с аквастопом-1шт., двойник-1шт.), ПП","","","",""
"INBLOOM Набор садового инвентаря 21см (совок, рыхлитель, корнеудал) металл с пласт. ручкой","","","",""
"INBLOOM Грабли веерные, 22 зуба, 35х38см, окрашенная сталь","","","",""
"ЕРМАК Замок навесной ""Бронь"" 60мм","","","",""
"ЕРМАК Замок навесной 63мм ""301""","","","",""
"ЕРМАК Биты для шуруповерта PZ2 длина 50 мм, сталь S2, 2 штуки, ПРОФИ СЕРИЯ","","","",""
"ЕРМАК Набор 9 пр: сверла по дереву (5-6-8 мм), по металлу (5-6-8 мм), по бетону (5-6-8 мм)","","","",""
"ЕРМАК Круг шлифовальный по металлу, 150х6х22,23мм","","","",""
"ЕРМАК Круг шлифовальный по металлу, 180х6х22,23мм","","","",""
"ЕРМАК Круг шлифовальный по металлу, 230х6х22,23мм","","","",""
"ЕРМАК Шнур-отвес разметочный, корпус пластмассовый, 30м","","","",""
"ЕРМАК Лезвие для ножей запасное 25мм сегментированное, сталь,толщина 0,6мм,10шт/уп","","","",""
"HEADMAN/ ЕРМАК Лезвия запасные для ножа пистолетного 10шт, 18мм","","","",""
"ЕРМАК Набор отверток 4 пр. 9986 (PH1,PH2x100; SL5,SL6x100)","","","",""
"ЕРМАК Отвертка с набором бит и головок, 38 предметов","","","",""
"ЕРМАК Набор ударных отверток 2 шт, PH2x100, SL6x100","","","",""
"ЕРМАК Резак для металлопластиковых труб PC-201 42мм","","","",""
"ЕРМАК Бур SDS-plus D5 х 50/110мм","","","",""
"ЕРМАК Бур SDS-plus D12 x 100/160 мм","","","",""
"ЕРМАК Бур SDS-plus D16 x 250/310 мм","","","",""
"ЕРМАК Набор буров по бетону системы SDS-plus, серия MASTER 5 шт(5/110, 6/110, 6/160, 8/160, 10/160)","","","",""
"ЕРМАК Клещи переставные 260мм с пружинной кнопкой","","","",""
"ЕРМАК Щетка металл. со шпилькой для дрели 75мм, плоская","","","",""
"ЕРМАК Щетка металл. со шпилькой для дрели 75мм (чашка)","","","",""
"ЕРМАК Щетка металл. для УШМ 125мм/22мм, плоская","","","",""
"ЕРМАК Набор ключей - шестигранников 1,5-10мм, 9шт. (011)","","","",""
"ЕРМАК Набор ключей TORX-профиль 9пр. (50х3мм-125х9мм)","","","",""
"ЕРМАК Рулетка ""НЕО-ТАЧ"", 3м х 16мм, одинарный зацеп + магнит, автостоп, корпус ABS","","","",""
"ЕРМАК Пассатижи / Клещи переставные 240 мм","","","",""
"ЕРМАК Плоскогубцы ""Никель МИНИ"" никелированные","","","",""
"ЕРМАК Кусачки торцевые строительные 160мм","","","",""
"ЕРМАК Топор-колун 2000г, 880мм с клиновидным полотном, стекловол.ручка","","","",""
"РОКОТ Киянка резиновая с металлической ручкой, 225г","","","",""
"РОКОТ Киянка резиновая с металлической ручкой, 680 гр","","","",""
"ЕРМАК Молоток кованый с деревянной ручкой 200гр.","","","",""
"ЕРМАК Молоток кованый с фиберглассовой двухкомпонентной ручкой 800г","","","",""
"ЕРМАК Топор кованый с фиберглассовой двухкомпонентной ручкой 1000г","","","",""
"РОКОТ Диск отрезной по металлу 125х1,6х22мм","","","",""
"РОКОТ Диск отрезной по металлу 150х1,2х22мм","","","",""
"РОКОТ Диск алмазный отрезной ""ТУРБО"" 230х22,2мм (для мокрой и сухой резки)","","","",""
"РОКОТ Диск алмазный отрезной сегментный 125х22,2мм (мокрая и сухая резка) бетон,кирпич,известняк.","","","",""
"ЕРМАК Диск пильный по дереву 200х32-30-20-16 z48,чистый рез","","","",""
"РОКОТ Гвоздодер с сине-красной ручкой, 43см","","","",""
"ЕРМАК Набор влагозащищенных навесных замков ""Система всё под один ключ"" (3 замка + 3 ключа)","","","",""
